id_6char,id_7char,municipio_sus,municipio,uf,populacao,clinicos,intensivistas,enfermeiros,anestesiologistas,ventiladores_existentes,ventiladores_em_uso,estab_c_vent_sus,quantidade_leitos,leitos_sus,leitos_nao_sus
150560,1505601,,Peixe-Boi,PA,8077,,,4,,,,,,,
150563,1505635, Piçarra,Piçarra,PA,12981,1,,2,,,,,20,20,
150565,1505650, Placas,Placas,PA,30982,2,,9,,1,1,1,29,29,
150570,1505700, Ponta de Pedras,Ponta de Pedras,PA,31082,2,,3,,,,,20,20,
150580,1505809, Portel,Portel,PA,62043,,,13,,,,,29,29,
150590,1505908, Porto de Moz,Porto de Moz,PA,41135,,,9,,,,,49,49,
150600,1506005, Prainha,Prainha,PA,29866,,,13,,,,,20,20,
150610,1506104, Primavera,Primavera,PA,10825,,,1,,1,1,1,,,
150611,1506112,,Quatipuru,PA,13608,,,2,,,,,,,
150613,1506138, Redenção,Redenção,PA,84787,23,,79,4,44,39,2,278,187,91
150616,1506161, Rio Maria,Rio Maria,PA,18193,4,,9,,,,,54,29,25
150618,1506187, Rondon do Pará,Rondon do Pará,PA,52357,2,,4,,,,,101,88,13
150619,1506195, Rurópolis,Rurópolis,PA,50510,2,,6,,1,1,1,27,27,
150620,1506203, Salinópolis,Salinópolis,PA,40675,10,,14,,5,5,2,47,47,
150630,1506302, Salvaterra,Salvaterra,PA,23752,,,2,,,,,19,19,
150635,1506351,,Santa Bárbara do Pará,PA,21079,1,,6,,,,,,,
150640,1506401, Santa Cruz do Arari,Santa Cruz do Arari,PA,10128,1,,3,,,,,15,15,
150650,1506500, Santa Izabel do Pará,Santa Izabel do Pará,PA,70801,14,,13,,1,1,1,60,60,
150655,1506559, Santa Luzia do Pará,Santa Luzia do Pará,PA,19848,2,,2,,1,1,1,16,16,
150658,1506583, Santa Maria das Barreiras,Santa Maria das Barreiras,PA,21449,3,,5,,2,2,2,23,23,
150660,1506609, Santa Maria do Pará,Santa Maria do Pará,PA,24861,5,,6,,,,,37,37,
150670,1506708, Santana do Araguaia,Santana do Araguaia,PA,72817,5,,9,,1,,1,63,63,
150680,1506807, Santarém,Santarém,PA,304589,76,2,274,3,55,43,5,471,355,116
150690,1506906,,Santarém Novo,PA,6709,,,3,,,,,,,
150700,1507003, Santo Antônio do Tauá,Santo Antônio do Tauá,PA,31482,3,,8,,,,,76,74,2
150710,1507102, São Caetano de Odivelas,São Caetano de Odivelas,PA,18050,,,3,,,,,20,20,
150715,1507151, São Domingos do Araguaia,São Domingos do Araguaia,PA,25557,1,,4,,,,,21,21,
150720,1507201, São Domingos do Capim,São Domingos do Capim,PA,31989,4,,20,,,,,31,31,
150730,1507300, São Félix do Xingu,São Félix do Xingu,PA,128481,9,,28,,3,3,2,145,98,47
150740,1507409,,São Francisco do Pará,PA,15882,1,,2,,,,,,,
150745,1507458, São Geraldo do Araguaia,São Geraldo do Araguaia,PA,24847,6,,9,,,,,41,41,
150746,1507466,,São João da Ponta,PA,6139,,,1,,,,,,,
150747,1507474, São João de Pirabas,São João de Pirabas,PA,23045,2,,9,,1,1,1,24,24,
150750,1507508, São João do Araguaia,São João do Araguaia,PA,13996,1,,4,,,,,19,19,
150760,1507607, São Miguel do Guamá,São Miguel do Guamá,PA,58986,6,,9,,1,1,1,54,54,
150770,1507706, São Sebastião da Boa Vista,São Sebastião da Boa Vista,PA,26640,1,,4,,1,1,1,32,32,
150775,1507755, Sapucaia,Sapucaia,PA,5930,1,,3,,,,,11,11,
150780,1507805, Senador José Porfírio,Senador José Porfírio,PA,11658,1,,3,,1,1,1,15,15,
150790,1507904, Soure,Soure,PA,25374,1,,4,,,,,48,48,
150795,1507953, Tailândia,Tailândia,PA,106339,5,1,45,1,8,6,4,40,40,
150796,1507961,,Terra Alta,PA,11720,1,,6,,,,,,,
