city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population_2019,is_last,place_type,state,last_update
Natal,2408102,9,1.01796,2020-03-22,,0.0,884122.0,False,city,RN,2020-03-26 15:52:13.650364
Natal,2408102,9,1.01796,2020-03-24,,0.0,884122.0,False,city,RN,2020-03-26 15:52:13.650364
Braço do Norte,4202800,9,26.90583,2020-03-25,,0.0,33450.0,True,city,SC,2020-03-26 15:52:13.650364
Goiânia,5208707,9,0.59362,2020-03-20,,0.0,1516113.0,False,city,GO,2020-03-26 15:52:13.650364
Natal,2408102,9,1.01796,2020-03-25,,0.0,884122.0,True,city,RN,2020-03-26 15:52:13.650364
Criciúma,4204608,9,4.18243,2020-03-24,,,215186.0,False,city,SC,2020-03-26 15:52:13.650364
Tubarão,4218707,9,8.51579,2020-03-24,,,105686.0,False,city,SC,2020-03-26 15:52:13.650364
Criciúma,4204608,9,4.18243,2020-03-23,,,215186.0,False,city,SC,2020-03-26 15:52:13.650364
,24,9,0.25664,2020-03-21,,0.0,3506853.0,False,state,RN,2020-03-26 15:52:13.650364
Braço do Norte,4202800,9,26.90583,2020-03-23,,,33450.0,False,city,SC,2020-03-26 15:52:13.650364
Maceió,2704302,8,0.78512,2020-03-23,,0.0,1018948.0,False,city,AL,2020-03-26 15:52:13.650364
,21,8,0.11307,2020-03-24,,0.0,7075181.0,True,state,MA,2020-03-26 15:52:13.650364
,14,8,1.32065,2020-03-24,,0.0,605761.0,False,state,RR,2020-03-26 15:52:13.650364
Teresina,2211001,8,0.92502,2020-03-24,,,864845.0,True,city,PI,2020-03-26 15:52:13.650364
,27,8,0.23971,2020-03-23,,0.0,3337357.0,False,state,AL,2020-03-26 15:52:13.650364
São Luís,2111300,8,0.72603,2020-03-24,,0.0,1101884.0,True,city,MA,2020-03-26 15:52:13.650364
Porto Seguro,2925303,8,5.38047,2020-03-24,,0.0,148686.0,False,city,BA,2020-03-26 15:52:13.650364
Juiz de Fora,3136702,8,1.40629,2020-03-24,,0.0,568873.0,False,city,MG,2020-03-26 15:52:13.650364
Tubarão,4218707,8,7.56959,2020-03-25,,0.0,105686.0,True,city,SC,2020-03-26 15:52:13.650364
,22,8,0.24441,2020-03-24,,,3273227.0,False,state,PI,2020-03-26 15:52:13.650364
Feira de Santana,2910800,8,1.30108,2020-03-24,,0.0,614872.0,False,city,BA,2020-03-26 15:52:13.650364
