,region_id,municipio,uf,populacao,quantidade_leitos
3140,MANTENOPOLIS ES,Mantenópolis,ES,15350,0.0
3141,MARATAIZES ES,Marataízes,ES,38499,94.0
3142,MARECHAL FLORIANO ES,Marechal Floriano,ES,16694,0.0
3143,MARILANDIA ES,Marilândia,ES,12833,0.0
3144,MIMOSO DO SUL ES,Mimoso do Sul,ES,26153,52.0
3145,MONTANHA ES,Montanha,ES,18833,35.0
3146,MUCURICI ES,Mucurici,ES,5524,19.0
3147,MUNIZ FREIRE ES,Muniz Freire,ES,17465,35.0
3148,MUQUI ES,Muqui,ES,15449,42.0
3149,NOVA VENECIA ES,Nova Venécia,ES,50110,61.0
3150,PANCAS ES,Pancas,ES,23184,9.0
3151,PEDRO CANARIO ES,Pedro Canário,ES,26184,36.0
3152,PINHEIROS ES,Pinheiros,ES,27047,32.0
3153,PIUMA ES,Piúma,ES,21711,68.0
3154,PONTO BELO ES,Ponto Belo,ES,7863,0.0
3155,PRESIDENTE KENNEDY ES,Presidente Kennedy,ES,11574,0.0
3156,RIO BANANAL ES,Rio Bananal,ES,19141,26.0
3157,RIO NOVO DO SUL ES,Rio Novo do Sul,ES,11622,0.0
3158,SANTA LEOPOLDINA ES,Santa Leopoldina,ES,12224,25.0
3159,SANTA MARIA DE JETIBA ES,Santa Maria de Jetibá,ES,40431,59.0
3160,SANTA TERESA ES,Santa Teresa,ES,23590,69.0
3161,SAO DOMINGOS DO NORTE ES,São Domingos do Norte,ES,8638,0.0
3162,SAO GABRIEL DA PALHA ES,São Gabriel da Palha,ES,37947,142.0
3163,SAO JOSE DO CALCADO ES,São José do Calçado,ES,10556,77.0
3164,SAO MATEUS ES,São Mateus,ES,130611,283.0
3165,SAO ROQUE DO CANAA ES,São Roque do Canaã,ES,12415,0.0
3166,SERRA ES,Serra,ES,517510,754.0
3167,SOORETAMA ES,Sooretama,ES,30070,0.0
3168,VARGEM ALTA ES,Vargem Alta,ES,21402,30.0
3169,VENDA NOVA DO IMIGRANTE ES,Venda Nova do Imigrante,ES,25277,101.0
3170,VIANA ES,Viana,ES,78239,0.0
3171,VILA PAVAO ES,Vila Pavão,ES,9208,0.0
3172,VILA VALERIO ES,Vila Valério,ES,14080,0.0
3173,VILA VELHA ES,Vila Velha,ES,493838,864.0
3174,VITORIA ES,Vitória,ES,362097,1695.0
3175,ANGRA DOS REIS RJ,Angra dos Reis,RJ,203785,286.0
3176,APERIBE RJ,Aperibé,RJ,11759,35.0
3177,ARARUAMA RJ,Araruama,RJ,132400,158.0
3178,AREAL RJ,Areal,RJ,12572,21.0
3179,ARMACAO DOS BUZIOS RJ,Armação dos Búzios,RJ,33870,48.0
3180,ARRAIAL DO CABO RJ,Arraial do Cabo,RJ,30349,79.0
3181,BARRA DO PIRAI RJ,Barra do Piraí,RJ,100374,280.0
3182,BARRA MANSA RJ,Barra Mansa,RJ,184412,296.0
3183,BELFORD ROXO RJ,Belford Roxo,RJ,510906,285.0
3184,BOM JARDIM RJ,Bom Jardim,RJ,27446,65.0
3185,BOM JESUS DO ITABAPOANA RJ,Bom Jesus do Itabapoana,RJ,37096,131.0
3186,CABO FRIO RJ,Cabo Frio,RJ,226525,538.0
3187,CACHOEIRAS DE MACACU RJ,Cachoeiras de Macacu,RJ,58937,103.0
3188,CAMBUCI RJ,Cambuci,RJ,15505,44.0
3189,CARAPEBUS RJ,Carapebus,RJ,16301,0.0
3190,COMENDADOR LEVY GASPARIAN RJ,Comendador Levy Gasparian,RJ,8561,0.0
3191,CAMPOS DOS GOYTACAZES RJ,Campos dos Goytacazes,RJ,507548,1664.0
3192,CANTAGALO RJ,Cantagalo,RJ,20172,83.0
3193,CARDOSO MOREIRA RJ,Cardoso Moreira,RJ,12823,0.0
3194,CARMO RJ,Carmo,RJ,18895,38.0
3195,CASIMIRO DE ABREU RJ,Casimiro de Abreu,RJ,44184,75.0
3196,CONCEICAO DE MACABU RJ,Conceição de Macabu,RJ,23228,36.0
3197,CORDEIRO RJ,Cordeiro,RJ,21926,38.0
3198,DUAS BARRAS RJ,Duas Barras,RJ,11492,16.0
3199,DUQUE DE CAXIAS RJ,Duque de Caxias,RJ,919596,977.0
3200,ENGENHEIRO PAULO DE FRONTIN RJ,Engenheiro Paulo de Frontin,RJ,14002,32.0
3201,GUAPIMIRIM RJ,Guapimirim,RJ,60517,137.0
3202,IGUABA GRANDE RJ,Iguaba Grande,RJ,28310,0.0
3203,ITABORAI RJ,Itaboraí,RJ,240592,313.0
3204,ITAGUAI RJ,Itaguaí,RJ,133019,159.0
3205,ITALVA RJ,Italva,RJ,15207,0.0
3206,ITAOCARA RJ,Itaocara,RJ,23234,68.0
3207,ITAPERUNA RJ,Itaperuna,RJ,103224,383.0
3208,ITATIAIA RJ,Itatiaia,RJ,31805,36.0
3209,JAPERI RJ,Japeri,RJ,104768,0.0
3210,LAJE DO MURIAE RJ,Laje do Muriaé,RJ,7355,30.0
3211,MACAE RJ,Macaé,RJ,256672,506.0
3212,MACUCO RJ,Macuco,RJ,5599,0.0
3213,MAGE RJ,Magé,RJ,245071,192.0
3214,MANGARATIBA RJ,Mangaratiba,RJ,44468,62.0
3215,MARICA RJ,Maricá,RJ,161207,141.0
3216,MENDES RJ,Mendes,RJ,18614,10.0
3217,MESQUITA RJ,Mesquita,RJ,176103,176.0
3218,MIGUEL PEREIRA RJ,Miguel Pereira,RJ,25538,99.0
3219,MIRACEMA RJ,Miracema,RJ,27174,71.0
3220,NATIVIDADE RJ,Natividade,RJ,15317,50.0
3221,NILOPOLIS RJ,Nilópolis,RJ,162485,137.0
3222,NITEROI RJ,Niterói,RJ,513584,1661.0
3223,NOVA FRIBURGO RJ,Nova Friburgo,RJ,190631,659.0
3224,NOVA IGUACU RJ,Nova Iguaçu,RJ,821128,971.0
3225,PARACAMBI RJ,Paracambi,RJ,52257,82.0
3226,PARAIBA DO SUL RJ,Paraíba do Sul,RJ,44285,126.0
